title,author,date,views,likes,link
Language shouldn't be a barrier to climate action,Sophia Kianni,October 2021,861000,25000,https://ted.com/talks/sophia_kianni_language_shouldn_t_be_a_barrier_to_climate_action
Human-centered justice,American Family Insurance,January 2022,11000,342,https://ted.com/talks/american_family_insurance_human_centered_justice
Why is the Mona Lisa so famous?,Noah Charney,January 2022,1100000,33000,https://ted.com/talks/noah_charney_why_is_the_mona_lisa_so_famous
How moms shape the world,Anna Malaika Tubbs,December 2021,864000,25000,https://ted.com/talks/anna_malaika_tubbs_how_moms_shape_the_world
Why a free and fair internet is more vital than ever,Priscilla Chomba-Kinywa,April 2021,1100000,33000,https://ted.com/talks/priscilla_chomba_kinywa_why_a_free_and_fair_internet_is_more_vital_than_ever
It's time to write a new climate story, Countdown,October 2021,11000,332,https://ted.com/talks/countdown_it_s_time_to_write_a_new_climate_story
"Blood, concrete, and dynamite: Building the Hoover Dam",Alex Gendler,December 2021,724000,21000,https://ted.com/talks/alex_gendler_blood_concrete_and_dynamite_building_the_hoover_dam
4 ways the COVID-19 pandemic changed the way we sleep,Matt Walker,December 2021,295000,8800,https://ted.com/talks/matt_walker_4_ways_the_covid_19_pandemic_changed_the_way_we_sleep
You can only save one— who do you choose?,Doug MacKay,December 2021,1300000,40000,https://ted.com/talks/doug_mackay_you_can_only_save_one_who_do_you_choose
How to escape the cynicism trap,Jamil Zaki,August 2021,1100000,33000,https://ted.com/talks/jamil_zaki_how_to_escape_the_cynicism_trap
"Use your voice, vote and wallet for climate action",Halla Tómasdóttir,December 2021,969000,29000,https://ted.com/talks/halla_tomasdottir_use_your_voice_vote_and_wallet_for_climate_action
A king cobra bite — and a scientific discovery,Gowri Shankar,May 2021,1000000,30000,https://ted.com/talks/gowri_shankar_a_king_cobra_bite_and_a_scientific_discovery
How we could better predict and stop floods,Virginia Smith,March 2021,986000,29000,https://ted.com/talks/virginia_smith_how_we_could_better_predict_and_stop_floods
Dreams and details for a decarbonized future,Jim Hagemann Snabe,October 2021,837000,25000,https://ted.com/talks/jim_hagemann_snabe_dreams_and_details_for_a_decarbonized_future
The dark history of Mount Rushmore,Ned Blackhawk and Jeffrey D. Means,December 2021,527000,15000,https://ted.com/talks/ned_blackhawk_and_jeffrey_d_means_the_dark_history_of_mount_rushmore
"Siri, Alexa, Google ... what comes next?",Karen Lellouche Tordjman,September 2021,1000000,32000,https://ted.com/talks/karen_lellouche_tordjman_siri_alexa_google_what_comes_next
A new way to help young people with their mental health,Tom Osborn,August 2021,1000000,32000,https://ted.com/talks/tom_osborn_a_new_way_to_help_young_people_with_their_mental_health
How to deal with your insomnia — and finally get to sleep,Matt Walker,December 2021,311000,9300,https://ted.com/talks/matt_walker_how_to_deal_with_your_insomnia_and_finally_get_to_sleep
Would you raise the bird that murdered your children?,Steve Rothstein,December 2021,1200000,37000,https://ted.com/talks/steve_rothstein_would_you_raise_the_bird_that_murdered_your_children
A vision of sustainable housing for all of humanity,Vishaan Chakrabarti,October 2021,1000000,30000,https://ted.com/talks/vishaan_chakrabarti_a_vision_of_sustainable_housing_for_all_of_humanity
"""Your Song"" / ""Real Life""", Joan As Police Woman,August 2021,3800,115,https://ted.com/talks/joan_as_police_woman_your_song_real_life
3 ways to prepare society for the next pandemic,Jennifer B. Nuzzo,December 2021,1100000,33000,https://ted.com/talks/jennifer_b_nuzzo_3_ways_to_prepare_society_for_the_next_pandemic
The need for family reunification — to make families whole again,Elizabeth Zion,December 2021,1000000,31000,https://ted.com/talks/elizabeth_zion_the_need_for_family_reunification_to_make_families_whole_again
Education is a fundamental right for every child,Makhtoum Abdalla,December 2021,1000000,32000,https://ted.com/talks/makhtoum_abdalla_education_is_a_fundamental_right_for_every_child
The life-changing power of assistive technologies,Jane Velkovski,December 2021,1000000,31000,https://ted.com/talks/jane_velkovski_the_life_changing_power_of_assistive_technologies
How to protect your mental well-being online — from a Gen-Zer,Peachy Liv,December 2021,981000,29000,https://ted.com/talks/peachy_liv_how_to_protect_your_mental_well_being_online_from_a_gen_zer
A next-generation solution to climate crisis,Nkosilathi Nyathi,December 2021,200000,6000,https://ted.com/talks/nkosilathi_nyathi_a_next_generation_solution_to_climate_crisis
"""Astral Plane""",Valerie June,October 2021,2500,76,https://ted.com/talks/valerie_june_astral_plane
5 keys to shifting to a well-being economy — and the cost of inaction,Sandrine Dixson-Declève,October 2021,4900,147,https://ted.com/talks/sandrine_dixson_decleve_5_keys_to_shifting_to_a_well_being_economy_and_the_cost_of_inaction
3 ways to lower the barriers to higher education,Adrian K. Haugabrook,August 2021,1100000,34000,https://ted.com/talks/adrian_k_haugabrook_3_ways_to_lower_the_barriers_to_higher_education
How one of the most profitable companies in history rose to power,Adam Clulow,December 2021,635000,19000,https://ted.com/talks/adam_clulow_how_one_of_the_most_profitable_companies_in_history_rose_to_power
How going to Mars improves life on Earth,Eric Hinterman,May 2021,1000000,32000,https://ted.com/talks/eric_hinterman_how_going_to_mars_improves_life_on_earth
Africans should lead on health care solutions for Africa,Francisca Mutapi,December 2021,4000,120,https://ted.com/talks/francisca_mutapi_africans_should_lead_on_health_care_solutions_for_africa
The end of Roe v. Wade — and what comes next for reproductive freedom,Kathryn Kolbert,December 2021,1000000,32000,https://ted.com/talks/kathryn_kolbert_the_end_of_roe_v_wade_and_what_comes_next_for_reproductive_freedom
4 steps to hiring fairly — and supporting criminal justice reform,Nyra Jordan,November 2021,1100000,33000,https://ted.com/talks/nyra_jordan_4_steps_to_hiring_fairly_and_supporting_criminal_justice_reform
How sleep affects what (and how much) you eat,Matt Walker,December 2021,315000,9400,https://ted.com/talks/matt_walker_how_sleep_affects_what_and_how_much_you_eat
"Yes, scientists are actually building an elevator to space",Fabio Pacucci,December 2021,714000,21000,https://ted.com/talks/fabio_pacucci_yes_scientists_are_actually_building_an_elevator_to_space
How to end the pandemic — and prepare for the next,Maria Van Kerkhove,December 2021,1200000,36000,https://ted.com/talks/maria_van_kerkhove_how_to_end_the_pandemic_and_prepare_for_the_next
3 questions to build resilience — and change the world,Sister True Dedication,October 2021,1200000,38000,https://ted.com/talks/sister_true_dedication_3_questions_to_build_resilience_and_change_the_world
Community investment is the missing piece of climate action,Dawn Lippert,October 2021,1000000,32000,https://ted.com/talks/dawn_lippert_community_investment_is_the_missing_piece_of_climate_action
The dream of educating Afghan girls lives on,Shabana Basij-Rasikh,December 2021,1400000,44000,https://ted.com/talks/shabana_basij_rasikh_the_dream_of_educating_afghan_girls_lives_on
How gratitude rewires your brain,Christina Costa,March 2021,1400000,44000,https://ted.com/talks/christina_costa_how_gratitude_rewires_your_brain
Can stereotypes ever be good?,Sheila Marie Orfano and Densho,December 2021,475000,14000,https://ted.com/talks/sheila_marie_orfano_and_densho_can_stereotypes_ever_be_good
The value of kindness at work,James Rhee,September 2021,1300000,41000,https://ted.com/talks/james_rhee_the_value_of_kindness_at_work
What is melatonin — and should you take it to fall asleep?,Matt Walker,December 2021,422000,12000,https://ted.com/talks/matt_walker_what_is_melatonin_and_should_you_take_it_to_fall_asleep
The life cycle of a pair of jeans,Madhavi Venkatesan,November 2021,315000,9400,https://ted.com/talks/madhavi_venkatesan_the_life_cycle_of_a_pair_of_jeans
Is it really that bad to marry my cousin?,Mona Chalabi,November 2021,277000,8300,https://ted.com/talks/mona_chalabi_is_it_really_that_bad_to_marry_my_cousin
It's impossible to have healthy people on a sick planet,Shweta Narayan,October 2021,1200000,36000,https://ted.com/talks/shweta_narayan_it_s_impossible_to_have_healthy_people_on_a_sick_planet
The surprising health benefits of dreaming,Matt Walker,November 2021,357000,10000,https://ted.com/talks/matt_walker_the_surprising_health_benefits_of_dreaming
"Dear world leaders, these are our climate demands","Xiye Bastida, Shiv Soin and Latif Nasser",October 2021,260000,7800,https://ted.com/talks/xiye_bastida_shiv_soin_and_latif_nasser_dear_world_leaders_these_are_our_climate_demands
The science of extreme weather — and how to reduce the harm,"Al Roker, Al Gore, David Biello and Latif Nasser",October 2021,331000,9900,https://ted.com/talks/al_roker_al_gore_david_biello_and_latif_nasser_the_science_of_extreme_weather_and_how_to_reduce_the_harm
The wild sex lives of marine creatures,Luka Seamus Wright,November 2021,543000,16000,https://ted.com/talks/luka_seamus_wright_the_wild_sex_lives_of_marine_creatures
The forest is our teacher. It's time to respect it,Nemonte Nenquimo,October 2021,1000000,32000,https://ted.com/talks/nemonte_nenquimo_the_forest_is_our_teacher_it_s_time_to_respect_it
How accurate is the weather forecast?,Mona Chalabi,November 2021,237000,7100,https://ted.com/talks/mona_chalabi_how_accurate_is_the_weather_forecast
An action plan for solving the climate crisis,John Doerr and Ryan Panchadsaram,October 2021,1200000,36000,https://ted.com/talks/john_doerr_and_ryan_panchadsaram_an_action_plan_for_solving_the_climate_crisis
The science of preserving sight,Joshua Chu-Tan,August 2019,1200000,36000,https://ted.com/talks/joshua_chu_tan_the_science_of_preserving_sight
Can you solve the human cannonball riddle? ,Alex Rosenthal,November 2021,441000,13000,https://ted.com/talks/alex_rosenthal_can_you_solve_the_human_cannonball_riddle
Can climate change ever be funny? 17 comedians try to answer,Rainn Wilson,October 2021,7100,214,https://ted.com/talks/rainn_wilson_can_climate_change_ever_be_funny_17_comedians_try_to_answer
Your self-driving robotaxi is almost here,Aicha Evans,August 2021,1300000,40000,https://ted.com/talks/aicha_evans_your_self_driving_robotaxi_is_almost_here
Nature's fortress: How cacti keep water in and predators out,Lucas C. Majure,November 2021,463000,13000,https://ted.com/talks/lucas_c_majure_nature_s_fortress_how_cacti_keep_water_in_and_predators_out
A program to empower Black teachers in the US,Larry Irvin,September 2021,1200000,37000,https://ted.com/talks/larry_irvin_a_program_to_empower_black_teachers_in_the_us
An ever-evolving map of everything on Earth,Jack Dangermond,October 2021,1200000,36000,https://ted.com/talks/jack_dangermond_an_ever_evolving_map_of_everything_on_earth
Are naps actually good for us?,Matt Walker,November 2021,485000,14000,https://ted.com/talks/matt_walker_are_naps_actually_good_for_us
"""I Can See Clearly Now""","Tyrone Davis, Jr.",August 2021,6200,186,https://ted.com/talks/tyrone_davis_jr_i_can_see_clearly_now
"""Back on My Feet""", Kimberose,September 2021,3000,91,https://ted.com/talks/kimberose_back_on_my_feet
How to make a sad story funny,Jodie Houlston-Lau,November 2021,340000,10000,https://ted.com/talks/jodie_houlston_lau_how_to_make_a_sad_story_funny
The crucial intersection of climate and capital,Nili Gilbert,October 2021,1200000,37000,https://ted.com/talks/nili_gilbert_the_crucial_intersection_of_climate_and_capital
Which box do I check?,Mona Chalabi,November 2021,227000,6800,https://ted.com/talks/mona_chalabi_which_box_do_i_check
3 steps to getting what you want in a negotiation,Ruchi Sinha,November 2021,1900000,57000,https://ted.com/talks/ruchi_sinha_3_steps_to_getting_what_you_want_in_a_negotiation
Tracking the whole world's carbon emissions — with satellites and AI,Gavin McCormick,October 2021,1300000,39000,https://ted.com/talks/gavin_mccormick_tracking_the_whole_world_s_carbon_emissions_with_satellites_and_ai
The rise of predatory scams — and how to prevent them,Jane Walsh,June 2021,1300000,39000,https://ted.com/talks/jane_walsh_the_rise_of_predatory_scams_and_how_to_prevent_them
The twins who tricked the Maya gods of death,Ilan Stavans,November 2021,860000,25000,https://ted.com/talks/ilan_stavans_the_twins_who_tricked_the_maya_gods_of_death
"""Being Human""",Naima Penniman,October 2021,1200000,36000,https://ted.com/talks/naima_penniman_being_human
Leave only footprints that will wash away,Children of Palau,October 2021,205000,6100,https://ted.com/talks/children_of_palau_leave_only_footprints_that_will_wash_away
The many reasons to eat a plant-based diet,Derek Sarno,October 2021,1000000,32000,https://ted.com/talks/derek_sarno_the_many_reasons_to_eat_a_plant_based_diet
The powerful women on the front lines of climate action,Farwiza Farhan,October 2021,1000000,32000,https://ted.com/talks/farwiza_farhan_the_powerful_women_on_the_front_lines_of_climate_action
A bold plan to protect 30 percent of the Earth's surface and ocean floor,Enric Sala,October 2021,1000000,30000,https://ted.com/talks/enric_sala_a_bold_plan_to_protect_30_percent_of_the_earth_s_surface_and_ocean_floor
A vision for sustainable energy in Africa,Chibeze Ezekiel,October 2021,221000,6600,https://ted.com/talks/chibeze_ezekiel_a_vision_for_sustainable_energy_in_africa
"How your brain invents your ""self""",Anil Seth,October 2021,1500000,47000,https://ted.com/talks/anil_seth_how_your_brain_invents_your_self
Why better sleep means a better sex life,Matt Walker,November 2021,463000,13000,https://ted.com/talks/matt_walker_why_better_sleep_means_a_better_sex_life
Why do some people snore so loudly?,Alayna Vaughan,November 2021,406000,12000,https://ted.com/talks/alayna_vaughan_why_do_some_people_snore_so_loudly
How small countries can make a big impact on climate change,Nicola Sturgeon,October 2021,1200000,38000,https://ted.com/talks/nicola_sturgeon_how_small_countries_can_make_a_big_impact_on_climate_change
How did we get fertility so wrong?,Mona Chalabi,November 2021,276000,8200,https://ted.com/talks/mona_chalabi_how_did_we_get_fertility_so_wrong
"Super speed, magnetic levitation and the vision behind the hyperloop",Josh Giegel,August 2021,1300000,39000,https://ted.com/talks/josh_giegel_super_speed_magnetic_levitation_and_the_vision_behind_the_hyperloop
What working parents really need from workplaces,Angela Garbes,November 2021,1200000,36000,https://ted.com/talks/angela_garbes_what_working_parents_really_need_from_workplaces
The creative power of your intuition,Bozoma Saint John,August 2021,1400000,42000,https://ted.com/talks/bozoma_saint_john_the_creative_power_of_your_intuition
Are locust plagues unstoppable?,Jeffrey A. Lockwood,November 2021,475000,14000,https://ted.com/talks/jeffrey_a_lockwood_are_locust_plagues_unstoppable
A tailored history of who wears what — and why,Richard Thompson Ford,September 2021,1300000,39000,https://ted.com/talks/richard_thompson_ford_a_tailored_history_of_who_wears_what_and_why
The problem of vaccine spoilage — and a smart sensor to help,Nithya Ramanathan,August 2021,1400000,42000,https://ted.com/talks/nithya_ramanathan_the_problem_of_vaccine_spoilage_and_a_smart_sensor_to_help
"How daylight saving time affects our bodies, minds — and world",Matt Walker,November 2021,368000,11000,https://ted.com/talks/matt_walker_how_daylight_saving_time_affects_our_bodies_minds_and_world
How to make radical climate action the new normal,Al Gore,October 2021,1500000,47000,https://ted.com/talks/al_gore_how_to_make_radical_climate_action_the_new_normal
"How to get better at video games, according to babies",Brian Christian,November 2021,486000,14000,https://ted.com/talks/brian_christian_how_to_get_better_at_video_games_according_to_babies
What we miss when we focus on the average,Mona Chalabi,November 2021,355000,10000,https://ted.com/talks/mona_chalabi_what_we_miss_when_we_focus_on_the_average
3 rules to help you build a successful business,Julissa Prado,November 2021,1400000,42000,https://ted.com/talks/julissa_prado_3_rules_to_help_you_build_a_successful_business
What is COP26?,Countdown,October 2021,256000,7700,https://ted.com/talks/countdown_what_is_cop26
Countdown Global Livestream 2021,TED,October 2021,6100000,183000,https://ted.com/talks/ted_countdown_global_livestream_2021
The 55 gigaton challenge,Countdown,October 2021,269000,8000,https://ted.com/talks/countdown_the_55_gigaton_challenge
The haunting truth of ghost stories,Coya Paz Brownrigg,May 2021,1100000,33000,https://ted.com/talks/coya_paz_brownrigg_the_haunting_truth_of_ghost_stories
A new perspective on the journey to net-zero,Amina J. Mohammed,October 2021,1300000,41000,https://ted.com/talks/amina_j_mohammed_a_new_perspective_on_the_journey_to_net_zero
The fastest way to slow climate change now,Ilissa Ocko,October 2021,1500000,46000,https://ted.com/talks/ilissa_ocko_the_fastest_way_to_slow_climate_change_now
AI isn't as smart as you think — but it could be,Jeff Dean,August 2021,1400000,42000,https://ted.com/talks/jeff_dean_ai_isn_t_as_smart_as_you_think_but_it_could_be
"The Norse myth that inspired ""The Lord of the Rings""",Iseult Gillespie,October 2021,1500000,45000,https://ted.com/talks/iseult_gillespie_the_norse_myth_that_inspired_the_lord_of_the_rings
How to turn around a city,Irma L. Olguin Jr.,August 2021,1200000,38000,https://ted.com/talks/irma_l_olguin_jr_how_to_turn_around_a_city
Stuck in the gig economy? Try platform co-ops instead,Trebor Scholz,August 2021,1300000,41000,https://ted.com/talks/trebor_scholz_stuck_in_the_gig_economy_try_platform_co_ops_instead
"""The [Uncertain] Four Seasons""",AKQA and Jung von Matt,October 2021,5300,161,https://ted.com/talks/akqa_and_jung_von_matt_the_uncertain_four_seasons
The surprisingly long history of electric cars,Daniel Sperling and Gil Tal,October 2021,367000,11000,https://ted.com/talks/daniel_sperling_and_gil_tal_the_surprisingly_long_history_of_electric_cars
Can China achieve its ambitious climate pledges?,Hongqiao Liu,October 2021,1300000,39000,https://ted.com/talks/hongqiao_liu_can_china_achieve_its_ambitious_climate_pledges
Do 9 out of 10 dentists really recommend that toothpaste?,Mona Chalabi,October 2021,154000,4600,https://ted.com/talks/mona_chalabi_do_9_out_of_10_dentists_really_recommend_that_toothpaste
What to expect from COP26,Countdown Summit,October 2021,28000,854,https://ted.com/talks/countdown_summit_what_to_expect_from_cop26
Visions for the future,Kai-Fu Lee and Chen Qiufan,September 2021,1100000,33000,https://ted.com/talks/kai_fu_lee_and_chen_qiufan_visions_for_the_future
How to reduce bias in your workplace,Kim Scott and Trier Bryant,October 2021,1100000,34000,https://ted.com/talks/kim_scott_and_trier_bryant_how_to_reduce_bias_in_your_workplace
3 tips for leaders to get the future of work right ,Debbie Lovich,September 2021,1400000,43000,https://ted.com/talks/debbie_lovich_3_tips_for_leaders_to_get_the_future_of_work_right
How your nature photos can help protect wild animals,Tanya Berger-Wolf,March 2016,1200000,36000,https://ted.com/talks/tanya_berger_wolf_how_your_nature_photos_can_help_protect_wild_animals
"Why is this 2,500 year old shipwreck so well-preserved?",Helen Farr and Jon Adams,October 2021,414000,12000,https://ted.com/talks/helen_farr_and_jon_adams_why_is_this_2_500_year_old_shipwreck_so_well_preserved
A close-to-home solution for accessible childcare,Chris Bennett,August 2021,1400000,43000,https://ted.com/talks/chris_bennett_a_close_to_home_solution_for_accessible_childcare
What makes a friendship last? ,Mona Chalabi,October 2021,286000,8500,https://ted.com/talks/mona_chalabi_what_makes_a_friendship_last
How much clean electricity do we really need?,Solomon Goldstein-Rose,October 2021,1400000,42000,https://ted.com/talks/solomon_goldstein_rose_how_much_clean_electricity_do_we_really_need
Can you solve the risky disk riddle?,James Tanton,October 2021,578000,17000,https://ted.com/talks/james_tanton_can_you_solve_the_risky_disk_riddle
How we could eat real meat without harming animals,Isha Datar,August 2021,1700000,51000,https://ted.com/talks/isha_datar_how_we_could_eat_real_meat_without_harming_animals
